0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,
4991,5868,8198,9184,11637,14105,17063,20222,24109,27705,32304,36205,41668,46806,53120,59095,62744,64463,65246,65467,65105,65077,65014,64476,64041,64159,63425,62772,62617,62284,61595,61273,60716,60124,58650,57628,56046,54593,52847,50373,47116,44420,41643,39002,36522,33527,31670,28879,27114,24735,22308,20435,18094,15853,14089,12666,10657,8988,7755,6310,5394,4661,3781,3202,2628,2155,1779,1341,1124,919,762,674,654,674,739,871,1317,2070,3477,5719,9532,15741,25394,39276,54108,67668,77981,85241,89806,92268,93788,94453,95304,95366,95384,95874,96243,95682,95131,94337,93224,92978,92516,92251,91304,90081,88890,88397,87629,86480,85627,84548,83397,83310,82190,81816,81398,80677,80016,79261,78810,78651,78465,78082,77405,77184,76836,76613,76284,75537,75209,74745,74775,74983,74245,73545,72965,72794,73094,73161,72440,71589,71341,71317,71142,70549,69545,69358,69295,69053,68775,68080,67937,67762,67612,66488,65685,65275,64976,64328,64304,63751,62989,62651,62442,62000,61311,60612,59622,57572,55843,53871,52385,49741,46347,44113,41055,38498,35388,32086,28737,25281,21849,19064,16448,14002,12196,10750,9288,7981,6683,5855,4848,4007,3342,2686,2199,1674,1275,919,734,607,600,488,510,540,811,1240,1980,3267,5441,8995,14677,24032,38715,56736,72683,83765,90733,95689,98181,99517,100433,100885,101107,100778,100609,99888,99679,99322,98637,97729,97800,97286,96236,95478,94521,93745,93153,92274,91702,91555,90599,89649,89406,88782,88279,87469,86851,86498,86673,86125,85275,84785,84160,83412,83091,82186,81226,81337,80984,80770,80665,80419,79996,79511,79300,79111,79163,78064,77558,77183,76552,76699,76621,76308,75452,74660,74169,73604,73163,72979,71762,70974,70791,70015,69264,68868,67623,66788,66206,65520,64835,64282,63962,63507,63206,62308,61466,60362,59504,58655,57252,56516,54383,52578,50528,48808,46645,44599,42126,39917,37520,34729,31472,28711,25523,23173,20498,18102,16063,14206,12070,10275,8685,7260,5925,5106,4040,3272,2667,2176,1668,1288,925,755,598,512,457,522,613,895,1471,2494,4100,6908,11717,19218,31248,46720,63253,77286,85584,91037,94426,95927,96784,97390,97256,96804,96179,95408,95427,94958,93552,93060,93034,92370,91774,91381,90212,89234,89465,88670,87833,86631,85750,84958,84459,83777,82899,82509,82208,82188,82022,81548,81504,81294,81053,80060,79187,78496,77633,77488,76859,76065,75071,74629,74380,73600,72667,71809,71643,71193,70762,70093,68927,68408,68044,67962,67302,66816,66511,66142,66071,65990,65505,64662,64390,64069,63525,63084,62313,61940,61528,60774,59866,57779,56278,54414,51894,49094,44883,40638,37215,33464,29611,26608,23483,21088,18600,16060,13835,11936,10391,8857,7682,6263,5283,4246,3526,2858,2247,1843,1466,1133,854,720,584,506,484,535,677,1010,1664,2790,4697,8160,13609,22878,37256,54021,70331,82996,91461,96232,99159,100837,101622,102061,102119,101635,100702,100168,99445,98571,98049,97160,96327,95691,95319,94344,93767,93519,93114,92844,92415,91624,91252,90387,
871,970,961,946,950,1002,1006,1029,1057,1081,1092,1110,1107,1098,1167,1151,1164,1176,1212,1200,1216,1227,1228,1245,1271,1298,1305,1310,1328,1347,1379,1381,1389,1408,1417,1444,1444,1455,1498,1496,1517,1511,1516,1520,1534,1556,1531,1551,1582,1576,1619,1635,1634,1653,1700,1715,1716,1753,1758,1761,1812,1829,1822,1857,1896,1914,1955,1905,1846,1731,1596,1425,1192,961,726,562,401,397,447,441,466,484,500,512,537,565,552,560,577,583,572,590,592,585,571,586,609,626,630,635,630,651,670,696,698,709,725,747,764,774,801,806,815,819,829,843,855,862,884,875,882,903,894,907,915,922,923,940,944,943,946,948,978,991,1003,995,976,995,1026,1040,1035,1035,1036,1065,1102,1074,1080,1104,1099,1111,1124,1134,1144,1187,1217,1202,1229,1245,1248,1264,1291,1313,1309,1334,1353,1367,1405,1428,1414,1434,1454,1473,1488,1493,1522,1527,1573,1589,1614,1641,1668,1696,1697,1712,1730,1711,1719,1723,1728,1751,1771,1792,1820,1830,1855,1883,1960,1986,1979,1903,1746,1570,1390,1133,850,598,377,285,341,388,413,434,444,436,434,466,488,480,491,491,500,506,521,533,522,541,546,553,559,577,570,579,598,603,624,622,644,650,666,664,687,685,682,698,702,711,726,740,716,746,758,764,786,785,804,814,840,819,815,835,838,829,851,855,853,858,862,889,908,911,919,904,901,921,974,968,964,983,984,1008,1045,1060,1054,1084,1103,1113,1163,1181,1170,1208,1244,1254,1264,1307,1288,1336,1373,1389,1380,1398,1408,1392,1450,1438,1437,1448,1454,1451,1481,1510,1498,1538,1565,1569,1595,1612,1624,1658,1626,1657,1716,1729,1724,1753,1789,1805,1822,1856,1865,1917,1959,1986,2003,1990,1912,1758,1543,1312,1065,818,562,358,285,366,376,392,442,465,464,480,518,527,527,535,550,555,572,582,592,603,600,613,633,640,630,654,656,655,684,695,680,718,731,739,753,765,778,784,803,786,808,801,806,811,810,822,834,868,869,883,902,910,923,941,968,958,977,995,1026,1025,1038,1048,1051,1088,1120,1126,1117,1121,1149,1170,1175,1191,1172,1195,1200,1245,1233,1237,1271,1296,1319,1344,1332,1366,1387,1423,1428,1445,1466,1501,1549,1563,1588,1611,1649,1628,1634,1652,1663,1690,1674,1687,1701,1705,1746,1744,1781,1812,1852,1877,1911,1934,1945,2008,1994,1930,1820,1663,1433,1217,988,711,472,313,297,333,389,436,411,412,434,441,459,468,467,469,495,504,509,521,535,540,546,564,579,577,598,602,605,625,640,629,630,635,640,657,672,684,693,699,
